Orden,Suborden,Propiedad,Denominacion,NaturalezaJuridica,Uso,Destino,Superficie,ReferenciaCatastral,Tipo
200,-,426,FINCA 'E',Dominio Público,Servicio Público,Otros,7310.0 m2,2862104WK7326B0001HG::2862102WK7326B0001ZG::2862101WK7326B0001SG::2862103WK7326B0001UG,DESCONOCIDO
201,-,431,FINCA 'F',Dominio Público,Uso Público,Parques y Jardines,27370.0 m2,2959001WK7325H0001MY::2662101WK7326B0001TG,DESCONOCIDO
202,-,429,FINCA 'G',Dominio Público,Servicio Público,Centros Educativos,16600.0 m2,2959003WK7325H0001KY::2959002WK7325H0001OY,DESCONOCIDO
203,-,1380,FINCA 'H',Dominio Público,Uso Público,Vías Públicas Urbanas,46854.0 m2,2862013WK7326B0001BG,PROYECTO URBANIZACION 'FUENTE DEL ORO'
204,-,835,LOCAL EN C/ SAN COSME. 15,Patrimonial,Patrimoniales,Locales,106.2 m2,2862002WK7326B0017UT,PROYECTO URBANIZACION 'FUENTE DEL ORO'
205,-,401,PARCELA 'G',Dominio Público,Servicio Público,Otros,2500.0 m2,3857201WK7335F0001LG,PROYECTO DE URBANIZACION 'PARQUE DE SAN FERNANDO'
206,-,402,PARCELA 'F'.- POLIDEPORTIVO MUNICP.,Dominio Público,Servicio Público,Centros Deportivos,5000.0 m2,4254001WK7345F0001AL,PROYECTO DE URBANIZACION 'PARQUE DE SAN FERNANDO'
207,-,403,PARCELA 'E'.- PARQUE PÚBLICO.,Dominio Público,Uso Público,Parques y Jardines,20255.0 m2,SIN REF. CATASTRAL,PROYECTO DE URBANIZACION 'PARQUE DE SAN FERNANDO'
208,-,406,PARCELA 'C'.- COLEGIO PÚBLICO.,Dominio Público,Servicio Público,Centros Educativos,11148.0 m2,4252001WK7345A0001QB::4252002WK7345A0001PB,DESCONOCIDO
209,-,404,PARCELA 'D',Dominio Público,Uso Público,Parques y Jardines,4.615 m2,4151003WK7345F0001XL,PROYECTO DE URBANIZACION 'PARQUE DE SAN FERNANDO'
210,-,407,POLICÍA LOCAL Y CENTRO SOCIAL,Patrimonial,Patrimonio municipal del suelo,Patrimonio municipal del suelo,5381.0 m2,3352001WK7335A0001EH,P.E.R.I. 'G' SANTA ANA
211,-,408,ZONA AJARDINADA,Dominio Público,Uso Público,Parques y Jardines,1303.0 m2,SIN REF. CATASTRAL,P.E.R.I. 'G' SANTA ANA
212,-,409,ZONA AJARDINADA,Dominio Público,Uso Público,Parques y Jardines,844.0 m2,SIN REF. CATASTRAL,P.E.R.I. 'G' SANTA ANA
213,-,410,ZONA AJARDINADA,Dominio Público,Uso Público,Parques y Jardines,1485.8 m2,SIN REF. CATASTRAL,P.E.R.I. 'G' SANTA ANA
214,-,411,ZONA AJARDINADA,Dominio Público,Uso Público,Parques y Jardines,1773.08 m2,SIN REF. CATASTRAL,P.E.R.I. 'G' SANTA ANA
215,-,1206,FINCA 'A',Dominio Público,Servicio Público,Centros Educativos,8296.0 m2,4261707WK7346A0001ZF,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
216,-,1207,FINCA 'B',Dominio Público,Servicio Público,Centros Deportivos,2860.0 m2,4263031WK7346A0001MF,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
217,-,1208,FINCA 'C',Dominio Público,Servicio Público,Centros Deportivos,2221.0 m2,4161018WK7346A0001RF,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
218,-,1209,FINCA 'D',Dominio Público,Servicio Público,Centros Deportivos,1510.0 m2,4162002WK7346D0001UK,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
219,-,1210,FINCA 'E',Dominio Público,Uso Público,Parques y Jardines,380.0 m2,4263048WK7346C0001AO,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
220,-,1211,FINCA 'F',Dominio Público,Uso Público,Parques y Jardines,1867.0 m2,4162008WK7346D0001GK,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
221,-,1212,FINCA 'G',Dominio Público,Uso Público,Parques y Jardines,111.0 m2,4161021WK7346A0001RF,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
222,-,1213,FINCA 'H',Patrimonial,Patrimoniales,Solares,135.0 m2,4263031WK7346A0001MF,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
223,-,1214,FINCA 'I',Patrimonial,Patrimoniales,Solares,250.0 m2,4263043WK7346C0001SO,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
224,-,1215,FINCA 'J',Patrimonial,Patrimoniales,Solares,443.0 m2,4162011WK7346D0001GK,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
225,-,1216,FINCA 'K',Patrimonial,Patrimoniales,Solares,435.0 m2,4162007WK7346D0001YK,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
226,-,1217,FINCA 'L',Dominio Público,Uso Público,Vías Públicas Urbanas,10486.0 m2,SIN REF. CATASTRAL,P.E.R.I. 'B' 'POZO DE LAS NIEVES'
227,-,1353,PARCELA 'ECC' DEL POLÍGONO 'VILLA ROMÁN I',Dominio Público,Servicio Público,Centros Sociales,370.0 m2,4551602WK7345A0001TB,UNIDAD DE EJECUCION Nº 34 'VILLA ROMAN I'
228,-,1663,PARCELA D-1 PLAZA DELANTE IGLESIA SAN FERNANDO,Dominio Público,Uso Público,Vías Públicas Urbanas,969.0 m2,4151002WK7345F0001DL,P.U. PARQUE DE SAN FERNANDO
229,-,1259,FINCA 'A',Dominio Público,Uso Público,Vías Públicas Urbanas,95265.0 m2,SIN REF. CATASTRAL,UNIDAD DE EJECUCION Nº 34 'VILLA ROMAN II'
230,-,1260,FINCA 'B',Dominio Público,Uso Público,Parques y Jardines,52111.0 m2,4943001WK7344F0001UW,UNIDAD DE EJECUCION Nº 34 'VILLA ROMAN II'
231,-,1688,REFUGIO DE CALDERÓN DE LA BARCA,Dominio Público,Uso Público,Centros Turismo,245.85 m2,SIN REF. CATASTRAL,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
232,-,1262,FINCA 'D' (QL-16),Dominio Público,Servicio Público,Otros,3236.0 m2,5246801WK7345B0001IY,UNIDAD DE EJECUCION Nº 34 'VILLA ROMAN II'
233,-,1263,FINCA 'E' (QL-17),Dominio Público,Servicio Público,Centros de Salud,4018.0 m2,5047901WK7345B0001PY,UNIDAD DE EJECUCION Nº 34 'VILLA ROMAN II'
234,-,1665,LOCAL COMERCIAL HERMANOS BECERRIL,Dominio Público,Servicio Público,Otros,389.42 m2,3956004WK7335F0080AQ,PERI 'D'
235,-,1265,FINCA 'G' (QG-6),Patrimonial,Patrimoniales,Solares,7930.0 m2,5046201WK7345B0001MY,UNIDAD DE EJECUCION Nº 34 'VILLA ROMAN II'
236,-,1546,C.E.I.P. 'ISAAC ALBÁNIZ',Dominio Público,Servicio Público,Centros Educativos,9070.0 m2,5146701WK7345B0001SY,UNIDAD DE EJECUCION Nº 34 'VILLA ROMAN II'
237,-,1359,FINCA ?ERC-VPP-2C1-2 (PARTE 3 DE LA 237),Patrimonial,Patrimonio municipal del suelo,Residencial VPP,1802.35 m2,5249107WK7354G,VILLA ROMAN III
238,-,1360,FINCA DOT-D,Dominio Público,Servicio Público,Otros,23726.0 m2,5346601WK7354E0001GB,VILLA ROMAN III
239,-,1361,FINCA DOT-A,Dominio Público,Servicio Público,Centros Deportivos,7877.0 m2,5245203WK7354E0002ZZ,VILLA ROMAN III
240,-,1362,FINCA DOT-B,Dominio Público,Servicio Público,Otros,5328.0 m2,5245202WK7354E0001AB,VILLA ROMAN III
241,-,1363,FINCA DOT-C,Dominio Público,Servicio Público,Otros,60355.0 m2,5245201WK7354E0001WB,VILLA ROMAN III
242,-,1364,FINCA E.L.,Dominio Público,Uso Público,Parques y Jardines,10986.0 m2,SIN REF. CATASTRAL,VILLA ROMAN III
243,-,1365,FINCA ZV-1,Dominio Público,Uso Público,Parques y Jardines,2542.0 m2,4854501WK7345D0001YQ,VILLA ROMAN III
244,-,1366,FINCA ZV-2,Dominio Público,Uso Público,Parques y Jardines,28094.0 m2,4753401WK7345D0001TQ,VILLA ROMAN III
245,-,1367,FINCA ZV-3,Dominio Público,Uso Público,Parques y Jardines,384.0 m2,4752301WK7345D0001LQ,VILLA ROMAN III
246,-,1368,FINCA ZV-4,Dominio Público,Uso Público,Parques y Jardines,2803.0 m2,4751601WK7345B0001EY,VILLA ROMAN III
247,-,1369,FINCA ZV-5,Dominio Público,Uso Público,Parques y Jardines,13573.0 m2,4950501WK7345B0001QY,VILLA ROMAN III
248,-,1370,FINCA SGZV-A,Dominio Público,Uso Público,Parques y Jardines,51702.0 m2,5546401WK7354F0001FY,VILLA ROMAN III
249,-,1371,FINCA SGE (A Y B),Dominio Público,Uso Público,Infraestructuras Hidráulicas,23371.0 m2,5053601WK7355C0001DL,VILLA ROMAN III
250,-,1372,VIALES A-B-C-D,Dominio Público,Uso Público,Vías Públicas Urbanas,57465.0 m2,SIN REF. CATASTRAL,VILLA ROMAN III
251,-,1373,SIST. LOCALES DE VIALES Y APARC.,Dominio Público,Uso Público,Vías Públicas Urbanas,135096.99 m2,SIN REF. CATASTRAL,VILLA ROMAN III
252,-,1278,FINCA E.E.L.J.P. Y E.R.V.R.,Dominio Público,Uso Público,Vías Públicas Urbanas,30841.69 m2,SIN REF. CATASTRAL,P.E.R.I. 3 'SANTA MONICA'
253,-,1279,FINCA E.P.U.,Dominio Público,Uso Público,Parques y Jardines,19097.17 m2,3349707WK7334G0001HU3447102WK7334E0001ZS,P.E.R.I. 3 'SANTA MONICA'
254,-,1281,PARCELA Nº 3 A,Dominio Público,Uso Público,Vías Públicas Urbanas,3196.0 m2,SIN REF. CATASTRAL,P.E.R.I. 3 'SANTA MONICA III'
255,-,1282,PARCELA Nº 3B (EL 82),Dominio Público,Uso Público,Vías Públicas Urbanas,144.0 m2,SIN REF. CATASTRAL,P.E.R.I. 3 'SANTA MONICA III'
256,-,1268,FINCA A,Dominio Público,Uso Público,Vías Públicas Urbanas,48954.0 m2,SIN REF. CATASTRAL,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
257,-,1269,FINCA B,Dominio Público,Uso Público,Parques y Jardines,18874.0 m2,4345111WK7344E0001JH4345112WK7344E0001EH4345113WK7344E0001SH4345403WK7344E0001UH4346405WK7344E0001UH4346406WK7344E0115UU4345109WK7344E0000WG4345114WK7344E0001ZH,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
258,-,1270,FINCA C (PARC. AJN-10),Dominio Público,Uso Público,Parques y Jardines,2331.0 m2,4346407WK7344E0182HU,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
259,-,1271,FINCA D (PARC. AJN-11),Dominio Público,Uso Público,Parques y Jardines,2331.0 m2,4345115WK7344E0001UH,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
260,-,1272,FINCA 'E'  (PARC. Z.D-12),Dominio Público,Servicio Público,Otros,2254.0 m2,4345101WK7344E0001MH,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
261,-,1273,FINCA F (PARC. Z.D-13),Dominio Público,Servicio Público,Centros Deportivos,420.0 m2,4345106WK7344C0001XZ,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
262,-,1274,FINCA G (PARC. Z.D-14),Dominio Público,Servicio Público,Otros,1071.0 m2,4344104WK7344C0001XZ,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
263,-,1275,FINCA H (PARC. E.C.C.  23),Dominio Público,Servicio Público,Almacenes,1709.0 m2,4344101WK7344C0001KZ,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
264,-,1276,FINCA I (PARC. E.C.S. 23),Dominio Público,Servicio Público,Almacenes,3020.0 m2,4344102WK7344C0001RZ,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
265,-,1676,PARCELA Nº 12 SECTOR A-7,Patrimonial,Patrimonio municipal del suelo,Industrial,4657.0 m2,5414509WK7351S0001YS,SECTOR A-7 'CN-320 FERRETERÍAS CUENCA'
266,-,1283,VIALES (A. B. C. D. E. F. G. H. I. J. K. L),Dominio Público,Uso Público,Vías Públicas Urbanas,27333.0 m2,SIN REF. CATASTRAL::4150101WK7345F0001EL,DESCONOCIDO
267,-,1284,JARDINES (C-7. C-8 Y C-9),Dominio Público,Uso Público,Parques y Jardines,5848.0 m2,4150301WK7345F0001AL::4051901WK7345A0001WB,DESCONOCIDO
268,-,1285,PARQUE (C-5),Dominio Público,Uso Público,Parques y Jardines,10967.0 m2,3952601WK7345A0001WB,POLIGONO DE URBANIZACION RM2-A 'CASILLA DE SAN JOSE'
269,-,1286,CENTRO ESCOLAR (C-1),Dominio Público,Servicio Público,Otros,6500.0 m2,4049103WK7345A0001HB,POLIGONO DE URBANIZACION RM2-A 'CASILLA DE SAN JOSE'
270,-,1287,PARQUE DEPORTIVO,Dominio Público,Servicio Público,Otros,3300.0 m2,4049102WK7345A0001UB,POLIGONO DE URBANIZACION RM2-A 'CASILLA DE SAN JOSE'
271,-,1288,CENTRO SANITARIO,Dominio Público,Servicio Público,Otros,1275.0 m2,4049101WK7345A0001ZB,POLIGONO DE URBANIZACION RM2-A 'CASILLA DE SAN JOSE'
272,-,1.289 y 1.292,TERRENO JUNTO A CENTRO 3º EDAD DE JUAN-PIL,Patrimonial,Patrimoniales,Solares,700.0 m2,4149901WK7345F0001XL,POLIGONO DE URBANIZACION RM2-A 'CASILLA DE SAN JOSE'
273,-,1715,PARCELA C-3.1 EQUIPAMIENTO URBANO,Dominio Público,Servicio Público,Otros,1032.0 m2,4049105WK7345A0001AB,POLIGONO DE URBANIZACION RM2-A 'CASILLA DE SAN JOSE'
274,-,1291,AREAS DE JUEGO DE NIÑOS (C-10 Y C-11),Dominio Público,Uso Público,Vías Públicas Urbanas,6879.0 m2,4250604WK7345A::4251204WK7346E,DESCONOCIDO
275,-,1293,FINCA 'B' (PARCELA EGB),Dominio Público,Servicio Público,Otros,6000.0 m2,4048707WK7344G0001WA,P.E.R.I. 'RM2-B'
276,-,1294,FINCA C (PARCELA SA),Dominio Público,Servicio Público,Otros,2000.0 m2,4048709WK7344E0001BH,P.E.R.I. 'RM2-B'
277,-,1295,FINCA D (PARCELA D),Dominio Público,Servicio Público,Otros,2900.0 m2,4048710WK7344E0001WH,P.E.R.I. 'RM2-B'
278,-,1296,FINCA E (PARCELA PU),Dominio Público,Uso Público,Parques y Jardines,10286.32 m2,SIN REF. CATASTRAL,P.E.R.I. 'RM2-B'
279,-,1297,FINCA F (JP Y P),Dominio Público,Uso Público,Vías Públicas Urbanas,11094.0 m2,SIN REF. CATASTRAL,P.E.R.I. 'RM2-B'
280,-,1298,FINCA G,Dominio Público,Uso Público,Vías Públicas Urbanas,30976.0 m2,SIN REF. CATASTRAL,P.E.R.I. 'RM2-B'
281,-,1299,PARQUE URBANO,Dominio Público,Uso Público,Parques y Jardines,3500.0 m2,SIN REF. CATASTRAL,P.E.R.I. A 'PARQUE DEL HUÉCAR'
282,-,1300,SISTEMA VIARIO,Dominio Público,Uso Público,Vías Públicas Urbanas,4051.0 m2,SIN REF. CATASTRAL,P.E.R.I. A 'PARQUE DEL HUÉCAR'
283,-,1303,PARCELA C (VL-184),Dominio Público,Uso Público,Vías Públicas Urbanas,1688.03 m2,SIN REF. CATASTRAL,UNIDA DE EJECUCION Nº 13 'CAMINO DE LA RESINERA'
284,-,1304,PARCELA D (VL-4),Dominio Público,Uso Público,Vías Públicas Urbanas,2520.0 m2,SIN REF. CATASTRAL,UNIDA DE EJECUCION Nº 13 'CAMINO DE LA RESINERA'
285,-,1305,PARCELA 'E' (VL-67),Dominio Público,Uso Público,Vías Públicas Urbanas,824.0 m2,SIN REF. CATASTRAL,UNIDA DE EJECUCION Nº 13 'CAMINO DE LA RESINERA'
286,-,1306,PARCELA 'F' (EL-14),Dominio Público,Uso Público,Vías Públicas Urbanas,6748.0 m2,SIN REF. CATASTRAL,UNIDA DE EJECUCION Nº 13 'CAMINO DE LA RESINERA'
287,-,1545,PISO PILOTO EN PARCELA Nº 127 SOLAR 2-C,Dominio Público,Servicio Público,Centros Sociales,144.0 m2,2462102WK7326A0001UY,SECTOR S-2R CAÑADILLAS ESTE
288,-,1308,PARCELA Nº 124 (SOLAR 1-B),Dominio Público,Servicio Público,Centros Educativos,1780.0 m2,2361101WK7326A0001QY,POLIGONO DE URBANIZACION 'LAS CAÑADILLAS ESTE' (SECTOR S-2R)
289,-,1725,LOCAL Y ASCENSOR ACCESO A LA PLAZA DE MANGANA,Dominio Público,Servicio Público,Mejora de acceso,155.12 m2,4269331WK7346G0001LX,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
290,-,1310,PARCELA Nº 126 (SOLAR 2-B),Dominio Público,Servicio Público,Centros Deportivos,2779.29 m2,2462101WK7326A0001ZY,POLIGONO DE URBANIZACION 'LAS CAÑADILLAS ESTE' (SECTOR S-2R)
291,-,1311,PARCELA Nº 127 (SOLAR 2-C),Dominio Público,Servicio Público,Centros Sociales,356.0 m2,2462102WK7326A0001UY,POLIGONO DE URBANIZACION 'LAS CAÑADILLAS ESTE' (SECTOR S-2R)
292,-,1317,FINCA A,Dominio Público,Uso Público,Parques y Jardines,5905.46 m2,SIN REF. CATASTRAL,POLIGONO DE URBANIZACION 'LAS CAÑADILLAS ESTE' (SECTOR S-2R)
293,-,1318,FINCA B,Dominio Público,Uso Público,Vías Públicas Urbanas,11393.0 m2,SIN REF. CATASTRAL,POLIGONO DE URBANIZACION 'LAS CAÑADILLAS ESTE' (SECTOR S-2R)
294,-,1566,PARCELA SL,Dominio Público,Servicio Público,Otros,3620.0 m2,3161533WK7335G0001MQ,PROYECTO DE REPARCELACIÓN FORZOSA UE-37 'HUERTAS DE LA ALAMEDA'
295,-,1567,PARCELA SG-R,Dominio Público,Servicio Público,Otros,4210.0 m2,3161532WK7335G0001FQ,PROYECTO DE REPARCELACIÓN FORZOSA UE-37 'HUERTAS DE LA ALAMEDA'
296,-,1548,PARCELA VG-107,Dominio Público,Uso Público,Vías Públicas Urbanas,1676.0 m2,SIN REF. CATASTRAL,UE-19 MATADERO
297,-,1549,PARCELA VG-27,Dominio Público,Uso Público,Vías Públicas Urbanas,1085.0 m2,SIN REF. CATASTRAL,UNIVERSIDAD
298,-,1550,PARCELA EN LOS CABALLEROS,Dominio Público,Uso Público,Vías Públicas Urbanas,1989.9 m2,SIN REF. CATASTRAL,UA 'LOS CABALLEROS'
299,-,1320,PARCELA 4,Dominio Público,Uso Público,Parques y Jardines,796.12 m2,2965001WK7326D0001GP::2965005WK7326D0001TP::2965009WK7326D0001KP,DESCONOCIDO
300,-,1321,PARCELA 5,Dominio Público,Uso Público,Parques y Jardines,193.88 m2,2965002WK7326D0001QP,UNIDAD DE EJECUCION Nº 3 'BUENAVISTA'
301,-,1322,PARCELA 6,Dominio Público,Uso Público,Vías Públicas Urbanas,406.0 m2,SIN REF. CATASTRAL,UNIDAD DE EJECUCION Nº 3 'BUENAVISTA'
302,-,1323,PARCELA 7,Dominio Público,Servicio Público,Centros Sociales,263.0 m2,2965002WK7326D0001QP,UNIDAD DE EJECUCION Nº 3 'BUENAVISTA'
303,-,1324,FINCA 5 (ZV-1),Dominio Público,Uso Público,Parques y Jardines,15103.0 m2,2464502WK7326C0001PQ,PROYECTO DE REPARCELACION DEL SECTOR S-1 'BUENAVISTA'
304,-,1325,FINCA 6 (ZV-2),Dominio Público,Uso Público,Parques y Jardines,653.84 m2,2864501WK7326D0001GP,PROYECTO DE REPARCELACION DEL SECTOR S-1 'BUENAVISTA'
305,-,1326,FINCA 7 (ZV-3),Dominio Público,Uso Público,Parques y Jardines,2115.63 m2,2763403WK7326D0001OP,PROYECTO DE REPARCELACION DEL SECTOR S-1 'BUENAVISTA'
306,-,1327,FINCA 8. VIALES Y APARCAMIENTOS,Dominio Público,Uso Público,Vías Públicas Urbanas,37304.5 m2,SIN REF. CATASTRAL,PROYECTO DE REPARCELACION DEL SECTOR S-1 'BUENAVISTA'
307,-,1328,FINCA 9 (E-1),Patrimonial,Patrimoniales,Solares,6000.0 m2,2464503WK7326C0001LQ,PROYECTO DE REPARCELACION DEL SECTOR S-1 'BUENAVISTA'
308,-,1329,FINCA 10 (E-2),Patrimonial,Patrimoniales,Solares,8366.57 m2,2464504WK7326C0001TQ,PROYECTO DE REPARCELACION DEL SECTOR S-1 'BUENAVISTA'
309,-,1330,PARCELA E.1. ESPACIO LIBRE,Dominio Público,Servicio Público,Otros,13519.5 m2,4944503WK7344B,P.E.R.I. IM-3 'POLIGONO CUBERG'
310,-,1331,PARCELA E.2. PARQUE DEPORTIVO,Dominio Público,Servicio Público,Otros,3960.0 m2,5143801WK7354C0001QW,P.E.R.I. IM-3 'POLIGONO CUBERG'
311,-,1332,PARCELA E.3. EQUIP. COMERCIAL,Patrimonial,Patrimoniales,Solares,1140.0 m2,5042903WK7354A0001EU,P.E.R.I. IM-3 'POLIGONO CUBERG'
312,-,1333,PARCELA E.4. EQUIP. SOCIAL,Patrimonial,Patrimoniales,Solares,1440.0 m2,5042902WK7354A0001JU,P.E.R.I. IM-3 'POLIGONO CUBERG'
313,-,1334,PARCELA E.5. VIARIO Y APARCAMIENTO,Dominio Público,Uso Público,Vías Públicas Urbanas,35328.0 m2,SIN REF. CATASTRAL,P.E.R.I. IM-3 'POLIGONO CUBERG'
314,-,1335,FINCA 389.1,Patrimonio municipal del suelo,Patrimonio municipal del suelo,Residencial y Complementarios,717.1 m2,SIN REF. CATASTRAL,UNIDAD DE EJECUCION Nº 33
315,-,1336,FINCA EL-12A,Dominio Público,Uso Público,Infraestructuras Alumbrado,40.3 m2,4159201WK7345G0001YT,UNIDAD DE EJECUCION Nº 33
316,-,1337,FINCA EL-12B,Dominio Público,Uso Público,Infraestructuras Alumbrado,96.4 m2,4159203WK7345G0001QT,UNIDAD DE EJECUCION Nº 33
317,-,1338,FINCA EL-12. EL - 18. EL-19. EL-20 Y AREAS PEATONALES,Dominio Público,Uso Público,Vías Públicas Urbanas,4702.7 m2,4159202WK7345G0001GT::4060906WK7346A0001IF,DESCONOCIDO
318,-,1339,FINCA VL-29. VL-30. VL-31.VL-51. VL-52. VL-53. VL-53BIS. VL-54. VL-55 Y VL-57,Dominio Público,Uso Público,Vías Públicas Urbanas,12075.8 m2,SIN REF. CATASTRAL,UNIDAD DE EJECUCION Nº 33
319,-,1340,FINCA EL-15,Dominio Público,Uso Público,Vías Públicas Urbanas,4218.8 m2,4160802WK7346A0001YF,UNIDA DE EJECUCION Nº 8 'CERRO MOLINA'
320,-,1341,FINCA VL-32. VL-58. VL-59 Y PARTE DE VL-31 Y VL-57,Dominio Público,Uso Público,Vías Públicas Urbanas,3441.6 m2,SIN REF. CATASTRAL,UNIDA DE EJECUCION Nº 8 'CERRO MOLINA'
321,-,1342,FINCAS 'A' Y 'B',Dominio Público,Uso Público,Vías Públicas Urbanas,2549.0 m2,SIN REF. CATASTRAL,P.E.R.I. IM-2 'VEGA TORDERA'
322,-,1343,FINCA C,Dominio Público,Servicio Público,Otros,476.0 m2,5043014WK7344B0001ZS,P.E.R.I. IM-2 'VEGA TORDERA'
323,-,1344,FINCA D,Dominio Público,Servicio Público,Otros,238.0 m2,5043015WK7344B0001US,P.E.R.I. IM-2 'VEGA TORDERA'
324,-,1345,FINCA E,Dominio Público,Servicio Público,Otros,238.0 m2,5043016WK7344B0001HS,P.E.R.I. IM-2 'VEGA TORDERA'
325,-,1346,FINCA 'F',Dominio Público,Uso Público,Vías Públicas Urbanas,1438.0 m2,SIN REF. CATASTRAL,P.E.R.I. IM-2 'VEGA TORDERA'
326,-,1347,FINCA 'G',Dominio Público,Uso Público,Vías Públicas Urbanas,564.0 m2,SIN REF. CATASTRAL,P.E.R.I. IM-2 'VEGA TORDERA'
327,-,1348,PARCELA Nº 2,Dominio Público,Uso Público,Vías Públicas Urbanas,319.0 m2,SIN REF. CATASTRAL,UNIDAD DE EJECUCION Nº 16 'PARQUE MOVIL DE CUENCA'
328,-,1349,FINCA Nº 2 (EL-48 Y EL-49),Dominio Público,Uso Público,Vías Públicas Urbanas,2248.0 m2,SIN REF. CATASTRAL,UNIDAD DE EJECUCION Nº 20 'FABRICA DE MADERAS'
329,-,1350,FINCA Nº 3 (VL-126. VL-127. VL-128 Y VL-129),Dominio Público,Uso Público,Vías Públicas Urbanas,1892.79 m2,SIN REF. CATASTRAL,UNIDAD DE EJECUCION Nº 20 'FABRICA DE MADERAS'
330,-,1351,FINCA Nº 4 (VG-29),Dominio Público,Uso Público,Vías Públicas Urbanas,788.3 m2,SIN REF. CATASTRAL,UNIDAD DE EJECUCION Nº 20 'FABRICA DE MADERAS'
331,-,1352,TERRENOS EN LA NOGUERA (ANTIGUA UNIÓN RESINERA),Dominio Público,Uso Público,Vías Públicas Urbanas,14990.0 m2,3161525WK7336A0001QP::3161522WK7336A0001BP,DESCONOCIDO
332,-,1356,TERRENOS JUNTO A GASOLINERA DE 'GABAMAR',Dominio Público,Uso Público,Vías Públicas Urbanas,912.6 m2,SIN REF. CATASTRAL,ACTUACIONES URBANISTICAS
333,1,1374,FINCA 3.- OD-1.A.,Dominio Público,Servicio Público,Centros Salud,3325.89 m2,2573902WK7327D0001WR::2573901WK7327D0001HR,DESCONOCIDO
334,-,1375,FINCA 4.- 0D-2,Dominio Público,Uso Público,Parques y Jardines,762.86 m2,2670901WK7327B0001HO::2569701WK7326H0001EM,DESCONOCIDO
335,-,1376,FINCA 5.- ZV-1,Dominio Público,Uso Público,Parques y Jardines,1691.61 m2,2569701WK7326H0001EM,UA-2 DELA REA A-1 'UNIVERSIDAD DEL P.G.O.U.
336,-,1377,FINCA 6.- ZV-2,Dominio Público,Uso Público,Parques y Jardines,1491.42 m2,2670902WK7327B0001WO,UA-2 DEL AÁREA A-1 'UNIVERSIDAD DEL P.G.O.U.
337,-,1378,FINCA 7.- ZV-3,Dominio Público,Uso Público,Parques y Jardines,7154.89 m2,2672801WK7327B0001XO,UA-2 DEL AÁREA A-1 'UNIVERSIDAD DEL P.G.O.U.
338,-,1379,FINCA 11.- VIALES Y APARCAMIENTOS,Dominio Público,Uso Público,Vías Públicas Urbanas,26644.67 m2,SIN REF. CATASTRAL,UA-2 DEL ÁREA A-1 'UNIVERSIDAD DEL P.G.O.U.
339,-,1387,E.L.D.U.P. 1,Dominio Público,Uso Público,Vías Públicas Urbanas,18777.96 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
340,-,1388,E.L.D.U.P. 2,Dominio Público,Uso Público,Vías Públicas Urbanas,7525.73 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
341,-,1389,E.L.D.U.P. 3,Dominio Público,Uso Público,Vías Públicas Urbanas,2188.04 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
342,-,1390,E.L.D.U.P. 4,Dominio Público,Uso Público,Vías Públicas Urbanas,1667.32 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
343,-,1391,E.L.D.U.P. 5,Dominio Público,Uso Público,Vías Públicas Urbanas,2148.63 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
